name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,11/11/2015,27,19.6,23,31.5,19.6,23.2,22.8,98.8,9.199,100,12.5,rain,0,0,50,17.4,83,1013.8,91.3,3.7,80.3,6.9,4,,2015-11-11T06:16:24,2015-11-11T17:50:34,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,12/11/2015,29,20,24.1,35,20,25.2,23.1,94.7,10.119,100,8.33,rain,0,0,30.6,13.9,79.1,1017.4,77.5,6,150.6,13,7,,2015-11-12T06:16:48,2015-11-12T17:50:25,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,13/11/2015,26,17.1,22.2,26,17.1,22.2,20.5,91,2.852,100,8.33,rain,0,0,29.5,12.1,39.2,1018,86,5.5,152.8,13.1,6,,2015-11-13T06:17:12,2015-11-13T17:50:16,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,14/11/2015,27.5,16.4,22.2,27.9,16.4,22.2,18.5,82,0,0,0,,0,0,33.8,14.8,55.5,1015.8,68,6.2,173.8,15,7,,2015-11-14T06:17:36,2015-11-14T17:50:09,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,15/11/2015,24,19.2,21.5,24,19.2,21.5,20.8,96.1,4.6,100,8.33,rain,0,0,33.8,14.8,30,1016.2,93.2,3.5,88.6,7.6,5,,2015-11-15T06:18:01,2015-11-15T17:50:03,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,16/11/2015,24.1,18.1,21.5,24.1,18.1,21.5,21,97.4,2.76,100,4.17,rain,0,0,34.9,20.5,23.3,1013.2,93.5,3.6,23.2,1.9,1,,2015-11-16T06:18:27,2015-11-16T17:49:58,0.16,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,17/11/2015,25.1,18.9,21.8,25.1,18.9,21.8,21.4,97.6,6.9,100,12.5,rain,0,0,29.2,18.4,350.8,1013.6,92.2,4.4,49.1,4.4,2,,2015-11-17T06:18:53,2015-11-17T17:49:54,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,18/11/2015,25.1,19.5,22.6,25.1,19.5,22.6,22.1,97.1,0.184,100,4.17,rain,0,0,32.4,15.7,24.4,1014.3,89,5.4,83.7,7.1,4,,2015-11-18T06:19:20,2015-11-18T17:49:52,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,19/11/2015,28,19.9,23.9,34,19.9,24.6,23.1,95.7,11.223,100,8.33,rain,0,0,25.2,13.9,86.2,1015,92.6,4.1,93,8,4,,2015-11-19T06:19:48,2015-11-19T17:49:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,20/11/2015,29,20.2,24.3,35.6,20.2,24.8,23.3,94.2,10.135,100,12.5,rain,0,0,37.1,15.7,97.7,1015.2,66.6,6.4,135,11.7,6,,2015-11-20T06:20:15,2015-11-20T17:49:50,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,21/11/2015,29.1,20.3,24.2,34.7,20.3,25.1,22.6,91.3,2.76,100,4.17,rain,0,0,36,19.5,97.3,1015,72.8,6.6,153.5,13.2,6,,2015-11-21T06:20:44,2015-11-21T17:49:51,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,22/11/2015,27.5,20.6,23.7,32,20.6,24.3,23.1,96.6,3.864,100,8.33,rain,0,0,42.1,21.3,83.7,1015.9,83.3,5.6,140.5,12,6,,2015-11-22T06:21:13,2015-11-22T17:49:53,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,23/11/2015,30,19.7,24.4,35.9,19.7,25.4,23.2,93.5,10.119,100,8.33,rain,0,0,38.5,14.8,98,1016.6,74.4,5.9,92.9,8.1,4,,2015-11-23T06:21:42,2015-11-23T17:49:56,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,24/11/2015,29.5,19.2,24,33.6,19.2,24.8,22.3,91.2,2.76,100,4.17,rain,0,0,38.2,16.6,101.2,1017.3,68,6.6,177.3,15.3,7,,2015-11-24T06:22:12,2015-11-24T17:50:00,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,25/11/2015,29.5,18.6,23.4,29.7,18.6,23.4,17.7,74.1,0,0,0,,0,0,28.4,20.5,89,1016.4,35.6,6.5,252.1,21.8,9,,2015-11-25T06:22:42,2015-11-25T17:50:05,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,26/11/2015,29.5,18.5,24,31.3,18.5,24.4,20.6,83.4,0,0,0,,0,0,26.6,12.1,79.9,1016.8,52.9,7.1,233.6,20.3,8,,2015-11-26T06:23:13,2015-11-26T17:50:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,27/11/2015,32,20.1,25.1,30.9,20.1,25,18.6,72.1,0,0,0,,0,0,24.5,13.9,84.1,1015.6,47.3,6.9,230.8,20,8,,2015-11-27T06:23:43,2015-11-27T17:50:19,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,28/11/2015,30,17.6,23.3,30,17.6,23.3,17.7,75.3,0,0,0,,0,0,22,12.1,68.2,1017.3,36.8,6.1,244.4,21.2,9,,2015-11-28T06:24:15,2015-11-28T17:50:28,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,29/11/2015,28,18.4,23.3,33.6,18.4,24.1,22,92.7,0.46,100,4.17,rain,0,0,37.4,20.3,85.7,1018.1,76.4,5.3,104.3,9.1,5,,2015-11-29T06:24:46,2015-11-29T17:50:38,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,30/11/2015,28.5,20.3,23.9,34.1,20.3,24.3,22.9,94.6,2.3,100,4.17,rain,0,0,31.3,14.8,69.5,1018.7,82.5,5.6,101.1,8.7,6,,2015-11-30T06:25:18,2015-11-30T17:50:49,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,01/12/2015,26,20.1,22.9,26,20.1,22.9,22.3,96.1,0.184,100,4.17,rain,0,0,41.8,14.8,60.4,1016.8,89,6.5,96.9,8.4,5,,2015-12-01T06:25:50,2015-12-01T17:51:01,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,02/12/2015,27,20.1,23.4,31.2,20.1,23.6,22.9,97.1,3.2,100,12.5,rain,0,0,29.2,18.4,83.1,1016.5,91.7,5.5,32.1,2.8,1,,2015-12-02T06:26:23,2015-12-02T17:51:14,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,03/12/2015,27,19.4,23.6,31.2,19.4,24,22.8,95.1,0.368,100,4.17,rain,0,0,29.9,15.7,53.2,1016.8,69.4,6.4,66.5,5.7,4,,2015-12-03T06:26:55,2015-12-03T17:51:28,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,04/12/2015,29.5,19.1,23.8,31.1,19.1,24.1,19.7,80.3,0,0,0,,0,0,40.3,20.5,51.3,1016.4,44.7,7.2,226.4,19.5,9,,2015-12-04T06:27:28,2015-12-04T17:51:43,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,05/12/2015,30,19,24,32.6,19,24.4,20.1,80.8,0,0,0,,0,0,46.1,20.3,62,1016.6,42,6.8,169.7,14.6,7,,2015-12-05T06:28:01,2015-12-05T17:51:59,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,06/12/2015,29,19,23.4,30.1,19,23.7,19.2,78.8,0,0,0,,0,0,45.7,20.3,78.4,1017.1,65.9,7.4,140.8,12.1,6,,2015-12-06T06:28:34,2015-12-06T17:52:16,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,07/12/2015,30.5,18.3,23.8,32.8,18.3,24.2,18.9,76.5,0,0,0,,0,0,32.8,14.8,64,1017.1,45.6,6.9,190.2,16.5,8,,2015-12-07T06:29:07,2015-12-07T17:52:34,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,08/12/2015,29,17.9,22.2,30.1,17.9,22.2,16.5,72.8,0,0,0,,0,0,51.7,18,76.7,1017.4,41,6.1,180.5,15.6,8,,2015-12-08T06:29:40,2015-12-08T17:52:53,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,09/12/2015,27.5,19.1,22.1,32.4,19.1,22.3,19.7,86.6,0.368,100,4.17,rain,0,0,35.6,18.2,87.9,1017.8,66.7,5.5,167.8,14.4,7,,2015-12-09T06:30:13,2015-12-09T17:53:13,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,10/12/2015,24.5,20.1,22.5,24.5,20.1,22.5,20.3,87.6,0.024,100,4.17,rain,0,0,33.1,14.8,93.8,1017.6,74.1,5.2,142.6,12.4,6,,2015-12-10T06:30:46,2015-12-10T17:53:34,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,11/12/2015,28.2,19.1,23.5,29.4,19.1,23.7,19.7,80.6,0,0,0,,0,0,31.7,11.3,132.8,1016.3,60.6,6.1,151.6,13,6,,2015-12-11T06:31:19,2015-12-11T17:53:56,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,12/12/2015,29.3,20.3,24.4,29.3,20.3,24.4,18.9,74.4,0.3,100,4.17,rain,0,0,37.1,14.4,95.4,1015.1,55.9,6.5,161.5,14,7,,2015-12-12T06:31:52,2015-12-12T17:54:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,13/12/2015,30.1,21.1,24.8,29.3,21.1,24.7,18.1,70.4,0,0,0,,0,0,18,14.5,113.1,1015.6,32.7,7.2,205.3,17.7,7,,2015-12-13T06:32:25,2015-12-13T17:54:42,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,14/12/2015,28.7,19.1,24.1,32.8,19.1,24.6,20.1,80,1.3,100,16.67,rain,0,0,22,17.8,128.6,1016.1,50.2,5.7,199.5,17.3,8,,2015-12-14T06:32:57,2015-12-14T17:55:06,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,15/12/2015,30.1,20.1,24,30.1,20.1,24.1,19.3,77.3,0,0,0,,0,0,20.2,10.2,124.9,1016.1,46.4,6.9,205.1,17.5,8,,2015-12-15T06:33:30,2015-12-15T17:55:31,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,16/12/2015,29.2,19.1,23.4,31.2,19.1,23.5,17.3,73.1,0,0,0,,0,0,19.4,14.7,118.4,1016.8,40.1,5.7,212.5,18.2,8,,2015-12-16T06:34:02,2015-12-16T17:55:57,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,17/12/2015,27.6,17.1,22.2,27.5,17.1,22.2,16.4,73,0,0,0,,0,0,25.6,18.3,120,1016.5,26.2,5.7,243.5,21.1,9,,2015-12-17T06:34:34,2015-12-17T17:56:23,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,18/12/2015,26.2,18,21.8,26.2,18,21.8,17.8,79.4,0,0,0,,0,0,25.2,14.5,119.9,1017.4,48.9,5.4,225.7,19.5,8,,2015-12-18T06:35:06,2015-12-18T17:56:50,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,19/12/2015,27.4,19.1,22.8,28,19.1,22.8,17.8,75.4,0,0,0,,0,0,23,14.7,107.5,1019,44.2,6.6,206.2,17.7,8,,2015-12-19T06:35:37,2015-12-19T17:57:18,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,20/12/2015,27.2,19.1,22.7,27.6,19.1,22.8,18.2,77.4,0,0,0,,0,0,31.3,14.7,119.1,1018.8,34.6,6.9,219.9,19.1,8,,2015-12-20T06:36:08,2015-12-20T17:57:47,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,21/12/2015,28.1,19.1,22.8,27.8,19.1,22.8,16.7,71.6,0,0,0,,0,0,23,12.1,110.5,1018.7,43.4,6.8,233.7,20,9,,2015-12-21T06:36:38,2015-12-21T17:58:16,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,22/12/2015,29,17,22.7,28.4,17,22.6,15.2,66.9,0,0,0,,0,0,24.5,18,99.8,1019,11.5,7.3,239.7,20.9,8,,2015-12-22T06:37:08,2015-12-22T17:58:46,0.39,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,23/12/2015,29.1,18.2,22.8,28.7,18.2,22.8,16.7,71.9,0,0,0,,0,0,27.4,14.7,110.3,1019.6,30.6,6.7,236.5,20.6,9,,2015-12-23T06:37:38,2015-12-23T17:59:16,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,24/12/2015,29.1,18,22.6,28.1,18,22.5,15.1,67.2,107.5,100,4.17,rain,0,0,25.9,11.2,97.9,1018.5,28.8,6,242.8,21,9,,2015-12-24T06:38:07,2015-12-24T17:59:46,0.46,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,25/12/2015,28.1,17,22,27.7,17,22,16,72.5,0,0,0,,0,0,37.1,18.2,85.6,1018.2,30.4,5.3,234.6,20.1,8,,2015-12-25T06:38:36,2015-12-25T18:00:18,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,26/12/2015,27.2,18.1,22.5,27.2,18.1,22.5,16.3,71.2,0,0,0,,0,0,37.1,25.5,86.7,1018.9,40.6,5.8,237.5,20.6,8,,2015-12-26T06:39:04,2015-12-26T18:00:49,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,27/12/2015,26,17.7,22.2,26,17.7,22.2,18.2,79.6,0,0,0,,0,0,41.8,18.3,78.4,1019.9,60.9,5,178.7,15.4,7,,2015-12-27T06:39:31,2015-12-27T18:01:21,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,remote,43302599999,43295099999"
bangalore,28/12/2015,26.4,17.1,21.8,26.4,17.1,21.8,15.5,70.3,0,0,0,,0,0,34.9,18.4,91.7,1021.1,21,5.5,243,21.2,9,,2015-12-28T06:39:58,2015-12-28T18:01:53,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,29/12/2015,28.3,16,22.1,27.9,16,22,14.2,65.1,0,0,0,,0,0,34.2,18.3,87.9,1019.9,16.5,6.8,245.5,21.2,9,,2015-12-29T06:40:24,2015-12-29T18:02:26,0.62,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,30/12/2015,28.6,15.5,22,28.4,15.5,21.9,12.1,58.9,0,0,0,,0,0,39.2,25.8,86.9,1019.1,8.5,7.4,250.4,21.7,9,,2015-12-30T06:40:49,2015-12-30T18:02:59,0.65,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,31/12/2015,30,15.9,21.8,29,15.9,21.7,13.1,62.9,0,0,0,,0,0,38.2,15.1,88.7,1020,21.4,6.5,251.8,21.8,9,,2015-12-31T06:41:14,2015-12-31T18:03:32,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,01/01/2016,28.1,16.1,20.9,27.4,16.1,20.9,13.5,66.6,0,0,0,,0,0,41.8,27.3,89.7,1020.9,41.7,6,240.5,20.7,8,,2016-01-01T06:41:38,2016-01-01T18:04:06,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,02/01/2016,28.1,14.1,21.3,27,14.1,21.1,10.1,53.5,0,0,0,,0,0,37.8,22.3,84.2,1021.3,6,7.2,252.7,21.7,9,,2016-01-02T06:42:01,2016-01-02T18:04:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,03/01/2016,27.6,15,21.1,26.8,15,21,11.4,58.8,0,0,0,,0,0,37.1,18.2,94,1020,10.5,7,252.9,21.7,9,,2016-01-03T06:42:23,2016-01-03T18:05:13,0.78,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,04/01/2016,28.1,15,21.3,27.1,15,21.1,11.6,59.6,0,0,0,,0,0,39.2,18.4,90.5,1019.9,9.3,7.2,253.6,21.9,9,,2016-01-04T06:42:45,2016-01-04T18:05:47,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,05/01/2016,28,16,21.2,27.3,16,21.1,12.1,60.8,0,0,0,,0,0,30.2,15,89.7,1019,8.9,6.5,255,22,9,,2016-01-05T06:43:05,2016-01-05T18:06:21,0.85,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,06/01/2016,27.2,15.9,21.7,26.9,15.9,21.6,13.7,64.4,0,0,0,,0,0,21.6,18.5,108.3,1018.8,30.9,6.5,249.7,21.6,9,,2016-01-06T06:43:25,2016-01-06T18:06:55,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,07/01/2016,26.3,17.2,21.6,26.3,17.2,21.6,15.9,72.2,0,0,0,,0,0,26.6,14.6,106.6,1019.5,54.7,5.8,241,20.9,8,,2016-01-07T06:43:44,2016-01-07T18:07:29,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,08/01/2016,26.1,16.1,20.9,26.1,16.1,20.9,14.1,67.9,0,0,0,,0,0,25.9,16.4,76.3,1019.8,31.4,5.7,233,20,8,,2016-01-08T06:44:02,2016-01-08T18:08:03,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,09/01/2016,28.1,13.1,20.7,27,13.1,20.5,10.5,58.6,0,0,0,,0,0,31.7,14,88.5,1017.9,34.3,6.7,249.1,21.6,9,,2016-01-09T06:44:19,2016-01-09T18:08:37,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,10/01/2016,27.2,14.1,20.9,26.4,14.1,20.8,10.9,59.4,0,0,0,,0,0,25.6,14.5,91.2,1018.8,18.5,6.1,253.5,22,9,,2016-01-10T06:44:35,2016-01-10T18:09:11,0,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,11/01/2016,27.1,14.1,20.9,26.5,14.1,20.8,11.1,58.1,0,0,0,,0,0,29.2,15,90.8,1018.9,12.4,6.9,253.5,21.9,9,,2016-01-11T06:44:50,2016-01-11T18:09:45,0.04,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,12/01/2016,28.5,14.1,21.1,27.7,14.1,21.1,11.8,60.3,0,0,0,,0,0,26.6,10.9,74.4,1017.6,22.1,6.7,251.8,21.8,9,,2016-01-12T06:45:04,2016-01-12T18:10:19,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,13/01/2016,26.1,15.1,20.6,26.1,15.1,20.6,11.7,61.1,0,0,0,,0,0,24.8,14.5,89.3,1016.9,15.5,5.9,237.1,20.4,8,,2016-01-13T06:45:17,2016-01-13T18:10:52,0.11,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,14/01/2016,27.2,15,21.1,26.6,15,21,11.7,59.8,0,0,0,,0,0,25.2,17.9,91.5,1017,11.7,6.4,254.9,22,9,,2016-01-14T06:45:29,2016-01-14T18:11:25,0.15,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,15/01/2016,26.6,14.1,20.8,26.6,14.1,20.8,12.9,65,0,0,0,,0,0,29.9,11.2,98.7,1016.4,26.8,6.3,253.6,22,9,,2016-01-15T06:45:40,2016-01-15T18:11:59,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
